2020-10-18 15:13:17.664324 Steffen: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 15:13:28.033221 Andreas: {'coffee': 1, 'tea': 0, 'milk': 250}
2020-10-18 15:13:45.196678 Andreas: {'coffee': 1, 'tea': 0, 'milk': 50}
2020-10-18 15:18:34.416266 Steffen: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 15:18:56.402748 Steffen: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 15:19:01.100357 Steffen: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 15:21:21.724464 Steffen: {'coffee': 1, 'tea': 0, 'milk': 50}
2020-10-18 15:28:28.737862 Steffen: {'coffee': 1, 'tea': 0, 'milk': 50}
2020-10-18 15:29:17.071159 Helmut: {'coffee': 1, 'tea': 0, 'milk': 50}
2020-10-18 15:30:29.469657 Steffen: {'coffee': 1, 'tea': 0, 'milk': 50}
2020-10-18 15:30:41.040435 Steffen: {'coffee': 1, 'tea': 0, 'milk': 50}
2020-10-18 15:45:15.147606 Steffen: {'coffee': 0, 'tea': 0, 'milk': 0}
2020-10-18 15:45:34.283050 Steffen: {'coffee': 0, 'tea': 0, 'milk': 0}
2020-10-18 15:47:39.275024 Steffen: {'coffee': 0, 'tea': 0, 'milk': 0}
2020-10-18 15:54:55.048992 Steffen: {'coffee': 3, 'tea': 0, 'milk': 0}
2020-10-18 15:55:26.978908 Steffen: {'coffee': 3, 'tea': 0, 'milk': 50}
2020-10-18 15:56:28.314947 : {'coffee': 3, 'tea': 0, 'milk': 0}
2020-10-18 16:05:03.333207 Steffen.asd: {'coffee': 3, 'tea': 0, 'milk': 50}
2020-10-18 16:05:12.503560 Steffenasd: {'coffee': 3, 'tea': 0, 'milk': 50}
2020-10-18 16:05:29.726708 Steffen Schultze: {'coffee': 3, 'tea': 0, 'milk': 50}
2020-10-18 16:05:34.431146 Steffen Schultze: {'coffee': 3, 'tea': 0, 'milk': 50}
2020-10-18 16:05:39.586325 Steffen Schultze: {'coffee': 3, 'tea': 0, 'milk': 50}
2020-10-18 16:06:30.938119 Steffen: {'coffee': 2, 'tea': 0, 'milk': 0}
2020-10-18 16:06:45.318728 Steffen: {'coffee': 2, 'tea': 0, 'milk': 300}
2020-10-18 16:07:10.588494 Steffen: {'coffee': 2, 'tea': 0, 'milk': 50}
2020-10-18 16:09:59.501290 Steffen Schultze: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 16:10:01.109095 Steffen Schultze: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 16:10:02.208437 Steffen Schultze: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 16:18:55.501878 Steffen: {'coffee': 3, 'tea': 1, 'milk': 300}
2020-10-18 16:19:20.860379 Steffen: {'coffee': 1, 'tea': 0, 'milk': 50}
2020-10-18 16:21:39.676468 Steffen: {'coffee': 3, 'tea': 0, 'milk': 50}
